headline,date
"Says at polling places in Texas on Super Tuesday “the Republican side gets 25 machines, the Democratic side gets 5 machines. People were literally standing in line for seven hours.”"," March 9, 2020"
Says Bernie Sanders “voted against the Brady Bill five times for background checks on people.”," March 9, 2020"
"Says U.S. Rep. Dan Lipinski “voted against the DREAM Act, supports separating families and banning Muslims.”"," March 8, 2020"
"“With regard to the cost, let me be very clear: HHS has designated the coronavirus test as an essential health benefit. That means, by definition, it's covered in the private health insurance of every American, as well as covered by Medicare and Medicaid."," March 6, 2020"
Says an image of a Vermont mansion is one of Bernie Sanders homes.," March 6, 2020"
"Says Donald Trump tweeted, “Corona vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions: Judaism, olives. Wonderful vaccine, will stop Corona DEAD around world. Can’t make vaccines when being bombed, not have been possible without peace I created in Israel!”"," March 6, 2020"
The Obama administration didn't do anything about” swine flu.," March 6, 2020"
“The Obama administration made a decision on testing that turned out to be very detrimental to what we’re doing” on the coronavirus.," March 6, 2020"
The media “pulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirus.," March 6, 2020"
“Bloomberg spent $500 million on ads. The U.S. population is 327 million. He could have given each American $1 million and still have money left over.”," March 6, 2020"
"Says Bernie Sanders “only had 3,444 votes” in Nevada."," March 6, 2020"
Starting in March if you travel outside of the United States you won’t be allowed back in the country “due to high risk of the coronavirus.”," March 6, 2020"
"“I pay $165 a month on my student loans for the next 13 years to pay them off. With Bernie Sanders’ plan, my student loans will be forgiven. I’ll only have to pay $450 extra in taxes a month for the next 25 years to make sure I’ll have no more student debt.”"," March 6, 2020"
“Asteroid warning: NASA tracks a 4KM killer rock on approach - Could end human civilisation.”," March 5, 2020"
"“You’ve raised a lot more money than I have, Bernie.”"," March 5, 2020"
"Speaking of an HIV outbreak in Indiana during his time as governor, says “we immediately deployed health resources.”"," March 5, 2020"
"Says “every time the DSCC endorsed someone in North Carolina's U.S. Senate primary, and the person they didn’t support was black, the candidate they picked ended up losing."," March 5, 2020"
"“The State of Florida has announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of COVID-19 coronavirus starting on March 6, 2020. All schools are to close for 2 weeks also from March 6th.”"," March 5, 2020"
Says Quaden Bayles committed suicide.," March 5, 2020"
Says of the Milwaukee mass shooter: Supposedly he is black. A noose was hung on his locker and he addressed the issue and he was fired! So he returned the next work day and killed who he all thought were involved.," March 5, 2020"
Prescription drug companies are charging Americans prices that are on average 4x higher than what's charged in other countries.," March 5, 2020"
Says the Vatican reports that Pope Francis tested negative for the coronavirus before a second test came back positive.," March 5, 2020"
Quotes Sen. Lindsey Graham as saying President Trump “probably knows more about medicine and specifically viruses than any of the so-called scientists at the NIH and CDC.”," March 5, 2020"
Bernie (Sanders) is a communist.," March 4, 2020"
Says Gov. Tony Evers “wants to release half of the prison population.”," March 4, 2020"
“I had the great honor of being arrested with our U.N. ambassador on the streets of Soweto trying to get to see (Nelson Mandela) on Robbens Island.”," March 4, 2020"
The United States is “actually screening fewer people (for the coronavirus than other countries) because we don't have appropriate testing.," March 4, 2020"
"In 1962, Joe Biden “worked with segregationists,” Elizabeth Warren “debated as a pro-Vietnam conservative” while Bernie Sanders “organized against segregation and Vietnam war”"," March 4, 2020"
"“The blood test for coronavirus costs $3,200.”"," March 4, 2020"
"“Man visited Albany, N.Y. days before dying from coronavirus.”"," March 4, 2020"
“Bernie Sanders in 1963 — arrested protesting segregation. Joe Biden in 1975 — passionate speech defending segregation.”," March 4, 2020"
Says President Barack Obama “waited six months to call swine flu an emergency after thousands died.”," March 4, 2020"
Cuba has a lung cancer vaccine we in the US had no access to because we sanctioned Cuba.”," March 4, 2020"
"Shows a waitress saying, I lost my job. But I'll sleep better knowing” that the coronavirus relief bill included funding for the Kennedy Center, refugee resettlement, PBS, and congressional salaries: “Thanks, Democrats”"," March 31, 2020"
Says students have to repeat the same grade next year.," March 31, 2020"
"Says a study projects Wisconsin’s coronavirus cases will peak on April 26, 2020"," March 31, 2020"
“We inherited a broken test” for COVID-19.," March 31, 2020"
Says certain states are banning the sale of alcohol.," March 30, 2020"
"Says the Coronavirus Aid, Relief, and Economic Security Act gives members of Congress a pay increase."," March 30, 2020"
"“I didn’t say that” some of the medical equipment that governors are requesting, they don't actually need."," March 30, 2020"
“COVID literally stands for Chinese Originated Viral Infectious Disease.”," March 30, 2020"
"Says imposters in hazmat suits are going door to door in Stockton, Calif., saying they are checking residents for fever or COVID-19, but they “will enter your home and physically attempt robbery.”"," March 30, 2020"
"Says two patients at Valley Regional Medical Center in Brownsville, Texas, “are being looked at” for possible coronavirus infections."," March 3, 2020"
Says no one has died from the coronavirus in the United States.," March 3, 2020"
Says President Donald Trump spawned the “Wuhan super virus outbreak under code name ‘zyphr.’”," March 3, 2020"
“Shands Hospital of Gainesville Florida has confirmed its first case of coronavirus.”," March 3, 2020"
“The coronavirus has made it to Mississippi and the lady that caught it wasn’t around nobody with it which means it is airborne. That means if the wind blows it your direction you’ll have it also.”," March 3, 2020"
Says a photo shows a man wearing a “government issue Saint Laurent hazardous materials suit.”," March 3, 2020"
“In ‘Resident Evil’ the Umbrella Corporation releases a virus that infects the people of Raccoon City. A biological research lab with the exact same logo as the Umbrella Corporation can be found in the city where the coronavirus outbreak originated.”," March 3, 2020"
“I certainly supported Barack Obama and Joe Biden. ... I was there both times for them.”," March 3, 2020"
Sanitizer will do nothing for the coronavirus.," March 3, 2020"
Says Jill Karofsky as a prosecutor “went easy on” a Madison man in a 1999 sexual assault case," March 27, 2020"
Says Nevada Gov. Steve Sisolak has banned the use of an anti-malaria drug that might help cure coronavirus.”," March 27, 2020"
"Speaking of his restriction on travel from China, “I had (Joe) Biden calling me xenophobic. … He called me a racist, because of the fact that he felt it was a racist thing to stop people from China coming in.”"," March 27, 2020"
Says to leave objects in the sun to avoid contracting the coronavirus.," March 27, 2020"
"Says that under order from Gov. Tony Evers, he and his eight children can’t legally have dinner together anymore."," March 27, 2020"
"“Swing State Hit With 2020 Voting Lawsuit - Accused Of Registering Over 1,500 Deceased People In Pennsylvania.”"," March 27, 2020"
Says a Marquette professor called him a maverick and found no correlation between his opinions and conservative background.," March 27, 2020"
Says the CDC now says that the coronavirus can survive on surfaces for up to 17 days.," March 26, 2020"
Says truck drivers are being turned away from fast-food restaurants during the COVID-19 pandemic.," March 26, 2020"
"“China is to blame because the culture where people eat bats and snakes and dogs and things like that, these viruses are transmitted from the animal to the people and that's why China has been the source of a lot of these viruses like SARS, like MERS, the Swine Flu and now the coronavirus.”"," March 26, 2020"
“Donald Trump would receive $17 million for three hotels closed for four days under Republican bill! How in the hell is this right?!”," March 26, 2020"
"“All schools in Canada are closed for the rest of the school year, each family will receive $950 every two weeks for the next 15 weeks, banks were notif(ied) to suspend mortgage payments for at least 6 months, and student loans deferred.”"," March 25, 2020"
“Australia Closing Borders in a few hours for 6-months”," March 25, 2020"
We've done more tests in eight days than South Korea has done in eight weeks.," March 25, 2020"
An audio message lists five ways people can prevent the novel coronavirus.," March 25, 2020"
“Bill Gates told us about the coronavirus in 2015.”," March 25, 2020"
Says a military Humvee labeled “COVID-19 quarantine team” was on Interstate 696 in Michigan.," March 25, 2020"
"If you are in Las Vegas and you get a knock on your door from NV Power, 2020 Census or CVD-19 testers, do not open your door. They are robbing people at gunpoint."," March 25, 2020"
“Boil some orange peels wit cayenne pepper in it stand over the pot breathe in the steam so all that mucus can release from yo nasal… MUCUS is the problem its where THE VIRUS LIVES!!!”," March 25, 2020"
"Says N.Y. Gov. Andrew Cuomo “rejected buying recommended 16,000 ventilators in 2015 for the pandemic, for a pandemic, established death panels and lotteries instead. So, he had a chance to buy, in 2015, 16,000 ventilators at a very low price, and he turned it down.”"," March 25, 2020"
Says Gov. Tony Evers is “pushing firearm confiscation orders”," March 25, 2020"
Says Nancy Pelosi’s coronavirus bill includes “tax credits for solar and wind energy … retirement plans for community newspaper employees … $300 million for PBS … climate change studies” and more.," March 24, 2020"
“Fish tank additive may treat coronavirus.”," March 24, 2020"
Slices of lemon in a cup of hot water can save your life. The hot lemon can kill the proliferation of the novel coronavirus.," March 24, 2020"
Says Russia unleashed more than 500 lions on its streets to ensure that people are staying indoors during this pandemic outbreak.," March 24, 2020"
Says it was “unquestionably” not within his “legal authority” to postpone Illinois’ primary election by changing the date or shifting to vote-by-mail.," March 24, 2020"
“Putin has stated: Russian citizens (have) 2 options: Stay home for 15 days or in jail for 5 years.”," March 24, 2020"
"U.S. deaths since 1/22 (2020): COVID-19: 27, flu, 4,700; abortion: 118,000."," March 24, 2020"
Quotes Joe Biden as saying “people who have never died before are now dying from coronavirus.”," March 24, 2020"
Nate McMurray wants to reward illegals with amnesty.," March 24, 2020"
Says special military helicopters will spray pesticide against the Corona virus in the skies all over the country.," March 24, 2020"
On a referendum that could strip legislators of their redistricting power.," March 24, 2020"
A video shows Joe Biden “looking at books about dementia.”," March 23, 2020"
Says businesses will give you free baby formula during the coronavirus outbreak.," March 23, 2020"
Huge! Results From Breaking Chloroquine Study Show 100% Cure Rate For Patients Infected With The Coronavirus.," March 23, 2020"
"“So Oscar Health, the company tapped by Trump to profit from covid tests, is a Kushner company. Imagine that, profits over national safety.”"," March 23, 2020"
"“So Trump comes to Nashville to oversee damage from the tornado. He flies into the area in a helicopter to get there without further traffic problems in the city. He writes PERSONAL checks to those in need, with his personal accountant in tow.”"," March 23, 2020"
Says you can get a free $100 Lowe’s coupon by answering a few questions," March 23, 2020"
“Go to 2020census.gov and fill out this census form so you can get your stimulus check.”," March 23, 2020"
Says “Senator Joe Manchin hit (an) all time low saying seniors and the disabled did not need the relief package $1000 on Fox News.”," March 23, 2020"
Says longstanding Food and Drug Administration regulations “created barriers to the private industry creating a test quickly” for the coronavirus.," March 23, 2020"
“Wisconsin is the only state where all Republicans voted against protecting its citizens.”," March 20, 2020"
“No city in the state can quarantine itself without state approval.”," March 20, 2020"
“Replacing marriage licenses with domestic union contracts does not alter state or federal benefits.”," March 20, 2020"
For coronavirus cases “in the U.S. 38% of those hospitalized are under 35.”," March 20, 2020"
"The federal government is “preparing to mobilize the national guard,” “dispatch them across the US with military” and “announce a nationwide 1 week quarantine for all citizens.”"," March 20, 2020"
"“Did you see President Trump’s RECORD TURNOUT? Iowa - 32,389 Republicans.”"," March 20, 2020"
Says Joe Biden “just announced on CNN he will completely shut down drilling for oil and natural gas on day one of his administration.”," March 20, 2020"
"“I’ve passed more bills than Sen. Larson has, because ... he hasn’t passed any.”"," March 20, 2020"
